Timestamp,Symbol,Signal_Type,Close,Strength,Reason,OR_High,OR_Low
2026-07-31 10:36:17,PATANJALI,REVERSAL_UP,357.55,67,Bullish reversal: broke above OR_HIGH (356.65) by 33.33%,356.65,353.80
2026-07-31 10:38:21,BAJAJFINSV,REVERSAL_UP,1987.00,100,Bullish reversal: broke above OR_HIGH (1971.50) by 169.57%,1971.50,1960.00
2026-07-31 10:40:25,SUZLON,REVERSAL_UP,47.85,100,Bullish reversal: broke above OR_HIGH (47.52) by 117.86%,47.52,47.24
2026-07-31 10:42:28,NYKAA,REVERSAL_DOWN,333.80,100,Bearish reversal: broke below OR_LOW (335.40) by 64.00%,337.90,335.40
2026-07-31 10:56:56,IOC,REVERSAL_UP,140.08,45,Bullish reversal: broke above OR_HIGH (140.01) by 22.58%,140.01,139.39
2026-07-31 10:56:56,NMDC,REVERSAL_UP,85.29,27,Bullish reversal: broke above OR_HIGH (85.25) by 13.33%,85.25,84.95
2026-07-31 10:58:59,BIOCON,REVERSAL_UP,426.65,100,Bullish reversal: broke above OR_HIGH (426.60) by 80.00%,426.60,424.85
2026-07-31 10:58:59,VMM,REVERSAL_DOWN,107.26,100,Bearish reversal: broke below OR_LOW (107.65) by 103.64%,108.20,107.65
2026-07-31 11:05:11,LICHSGFIN,REVERSAL_UP,531.05,100,Bullish reversal: broke above OR_HIGH (529.00) by 53.21%,529.00,523.55
2026-07-31 11:15:29,SBILIFE,REVERSAL_DOWN,1881.00,36,Bearish reversal: broke below OR_LOW (1881.40) by 18.24%,1898.40,1881.40
2026-07-31 11:17:33,KALYANKJIL,REVERSAL_DOWN,624.35,100,Bearish reversal: broke below OR_LOW (631.80) by 137.60%,638.05,631.80
2026-07-31 11:21:45,NATIONALUM,REVERSAL_UP,355.25,71,Bullish reversal: broke above OR_HIGH (354.80) by 35.71%,354.80,352.70
2026-07-31 11:26:28,TMPV,REVERSAL_UP,337.45,24,Bullish reversal: broke above OR_HIGH (337.40) by 12.20%,337.40,335.35
2026-07-31 11:26:28,EICHERMOT,REVERSAL_UP,7868.50,25,Bullish reversal: broke above OR_HIGH (7862.50) by 12.71%,7862.50,7803.50
2026-07-31 11:30:36,TATACONSUM,REVERSAL_DOWN,1083.50,100,Bearish reversal: broke below OR_LOW (1086.90) by 75.00%,1091.70,1086.90
2026-07-31 11:30:36,INDIANB,REVERSAL_DOWN,830.20,33,Bearish reversal: broke below OR_LOW (830.45) by 16.67%,832.85,830.45
2026-07-31 11:30:36,BEL,REVERSAL_DOWN,386.80,31,Bearish reversal: broke below OR_LOW (387.20) by 15.25%,390.15,387.20
2026-07-31 11:32:41,INOXWIND,REVERSAL_UP,76.79,100,Bullish reversal: broke above OR_HIGH (75.73) by 446.15%,75.73,75.47
2026-07-31 11:45:05,BANDHANBNK,REVERSAL_DOWN,173.81,8,Bearish reversal: broke below OR_LOW (173.85) by 3.92%,174.87,173.85
2026-07-31 11:55:24,CROMPTON,REVERSAL_DOWN,261.05,19,Bearish reversal: broke below OR_LOW (261.15) by 9.52%,262.20,261.15
2026-07-31 11:57:29,PGEL,REVERSAL_UP,624.70,37,Bullish reversal: broke above OR_HIGH (623.55) by 18.57%,623.55,616.55
